"SEXO","ESTCIV","NIVEL_ED","ESTADO"
"varon","casado","secundario","ocupado"
"varon","casado","primario","inactivo"
"varon","soltero","superior","ocupado"
"varon","casado","primario","ocupado"
"varon","casado","secundario","inactivo"
"varon","viudo","primario","inactivo"
"mujer","separado","primario","ocupado"
"mujer","casado","primario","inactivo"
"varon","casado","primario","inactivo"
"mujer","viudo","primario","inactivo"
"varon","casado","primario","desocupado"
"varon","casado","primario","inactivo"
"mujer","soltero","secundario","ocupado"
"mujer","viudo","primario","inactivo"
"mujer","viudo","primario","ocupado"
"varon","casado","secundario","ocupado"
"varon","casado","secundario","ocupado"
"mujer","separado","primario","ocupado"
"varon","casado","superior","ocupado"
"varon","casado","superior","ocupado"
"varon","casado","superior","inactivo"
"mujer","separado","primario","inactivo"
"varon","casado","superior","ocupado"
"varon","casado","secundario","inactivo"
"varon","viudo","primario","inactivo"
"mujer","viudo","primario","ocupado"
"varon","casado","superior","ocupado"
"varon","casado","secundario","ocupado"
"mujer","soltero","superior","ocupado"
"mujer","soltero","primario","desocupado"
"mujer","viudo","primario","inactivo"
"varon","unido","superior","inactivo"
"mujer","soltero","secundario","ocupado"
"varon","viudo","primario","inactivo"
"varon","separado","secundario","desocupado"
"varon","soltero","superior","ocupado"
"varon","casado","secundario","ocupado"
"varon","casado","primario","inactivo"
"mujer","casado","primario","inactivo"
"mujer","separado","secundario","ocupado"
"varon","viudo","primario","inactivo"
"varon","casado","superior","ocupado"
"mujer","soltero","primario","ocupado"
"varon","casado","secundario","ocupado"
"varon","viudo","primario","inactivo"
"varon","casado","primario","ocupado"
"varon","casado","secundario","ocupado"
"varon","unido","secundario","ocupado"
"varon","casado","primario","ocupado"
"varon","casado","primario","desocupado"
"varon","casado","superior","inactivo"
"mujer","viudo","primario","inactivo"
"varon","casado","secundario","ocupado"
"varon","casado","superior","ocupado"
"varon","casado","superior","inactivo"
"mujer","separado","secundario","ocupado"
"varon","casado","primario","ocupado"
"varon","casado","superior","inactivo"
"varon","casado","primario","ocupado"
"mujer","unido","superior","inactivo"
"mujer","viudo","primario","ocupado"
"varon","casado","primario","ocupado"
"varon","separado","secundario","ocupado"
"varon","casado","superior","ocupado"
"varon","casado","primario","ocupado"
"mujer","separado","superior","ocupado"
"varon","soltero","superior","ocupado"
"varon","viudo","secundario","desocupado"
"varon","casado","primario","inactivo"
"varon","casado","superior","inactivo"
"varon","casado","primario","inactivo"
"mujer","viudo","primario","inactivo"
"varon","casado","primario","ocupado"
"varon","soltero","superior","ocupado"
"varon","casado","secundario","ocupado"
"varon","separado","superior","ocupado"
"mujer","soltero","primario","ocupado"
"varon","casado","primario","inactivo"
"mujer","viudo","primario","inactivo"
"varon","unido","superior","ocupado"
"mujer","viudo","superior","ocupado"
"mujer","soltero","secundario","inactivo"
"mujer","separado","secundario","ocupado"
"varon","casado","primario","ocupado"
"mujer","viudo","primario","inactivo"
"mujer","viudo","secundario","ocupado"
"mujer","viudo","primario","inactivo"
"varon","casado","secundario","ocupado"
